	sample_id	rapa_treat	x	y	stage	colours
0	SRX3653182_00h_yes_1	yes	6.746709	-3.3049757	00h	#005ab7
1	SRX3653183_12h_no_1	no	9.609044	-2.2589278	12h	#8ac926
2	SRX3653184_24h_no_1	no	7.21681	-4.2026014	24h	#fcab10
3	SRX3653185_30h_no_1	no	9.0918865	-2.8275828	30h	#ff595e
4	SRX3653186_12h_yes_1	yes	9.143503	-2.3192627	12h	#8ac926
5	SRX3653187_24h_yes_1	yes	6.301565	-1.313479	24h	#fcab10
6	SRX3653188_30h_yes_1	yes	6.60719	-1.4735669	30h	#ff595e
7	SRX3653189_00h_no_1	no	7.0394454	-3.3143413	00h	#005ab7
8	SRX3653190_24h_no_2	no	8.444535	-3.224498	24h	#fcab10
9	SRX3653191_00h_yes_2	yes	8.316899	-2.6381683	00h	#005ab7
10	SRX3653192_12h_no_2	no	9.601984	-2.699042	12h	#8ac926
11	SRX3653193_24h_no_3	no	7.9286213	-3.0248666	24h	#fcab10
12	SRX3653194_30h_no_2	no	9.123928	-3.3277209	30h	#ff595e
13	SRX3653195_00h_yes_3	yes	7.176801	-2.7072732	00h	#005ab7
14	SRX3653196_06h_yes_1	yes	9.580536	-3.7018015	06h	#6a4c93
15	SRX3653197_12h_yes_2	yes	8.593855	-2.1496618	12h	#8ac926
16	SRX3653198_24h_yes_2	yes	6.4666576	-0.6640003	24h	#fcab10
17	SRX3653199_30h_yes_2	yes	6.816223	-0.81758934	30h	#ff595e
18	SRX3653200_00h_no_2	no	6.7968144	-2.7988515	00h	#005ab7
19	SRX3653201_06h_no_1	no	9.331265	-3.903635	06h	#6a4c93
20	SRX3653202_18h_no_1	no	7.4421873	-2.9704425	18h	#ffca3a
21	SRX3653203_18h_yes_1	yes	6.6493773	-1.0278553	18h	#ffca3a
22	SRX3653204_00h_yes_4	yes	7.678918	-4.2005186	00h	#005ab7
23	SRX3653205_06h_yes_2	yes	8.930093	-4.684857	06h	#6a4c93
24	SRX3653206_06h_yes_3	yes	8.406544	-4.7223363	06h	#6a4c93
25	SRX3653207_24h_yes_3	yes	6.1807656	-1.2183226	24h	#fcab10
26	SRX3653208_00h_no_3	no	7.5391345	-3.846241	00h	#005ab7
27	SRX3653209_18h_no_2	no	8.702803	-3.5540473	18h	#ffca3a
28	SRX3653210_18h_yes_2	yes	7.0785837	-1.158181	18h	#ffca3a
29	SRX3653211_06h_no_2	no	8.306878	-4.362912	06h	#6a4c93
30	SRX3653212_06h_no_3	no	8.627023	-4.1831026	06h	#6a4c93
31	SRX3653213_24h_no_4	no	8.096034	-3.708579	24h	#fcab10
